Title,Average Total Pay Growth (%),Percentage change (monthly) All property types
2020 JUN,-1.1,1.38
2020 JUL,-0.9,0.85
2020 AUG,0.2,0.98
2020 SEP,1.5,1.06
2020 OCT,2.8,0.84
2020 NOV,3.7,1.02
2020 DEC,4.6,0.78
2021 JAN,4.8,0
2021 FEB,4.5,0.3
2021 MAR,4.2,1.5
2021 APR,5.6,-1.5
2021 MAY,7.5,0.7
2021 JUN,8.9,5.3
2021 JUL,8.4,-4.7
2021 AUG,7.2,3
2021 SEP,5.9,2.9
2021 OCT,5,-2.5
2021 NOV,4.2,2
2021 DEC,4.6,0.5
2022 JAN,4.8,1.3
2022 FEB,5.6,0
2022 MAR,7,0.4
2022 APR,6.9,1.2
2022 MAY,6.4,1.2
2022 JUN,5.1,1.2
2022 JUL,5.4,1.9
2022 AUG,6,0.8
2022 SEP,6,0.3
2022 OCT,6.2,-0.1
2022 NOV,6.7,-0.1
2022 DEC,6.3,-0.8
2023 JAN,6.2,-1.1
2023 FEB,6.1,-0.7
2023 MAR,6.4,-1.2
2023 APR,6.9,0.2
2023 MAY,7.3,0.3
2023 JUN,8.4,0.6
2023 JUL,8.5,0.8
2023 AUG,8.2,1
2023 SEP,8,-0.6
2023 OCT,7.2,-0.4
2023 NOV,6.7,-0.3
2023 DEC,5.8,-0.6
